VariableCode,RegionCode,YearCode,AggValue
rgdpo,BLZ,1990,1348.99047851563000000
pop,BLZ,1990,0.18755200000000000
rgdpo,BLZ,1991,1309.44567871094000000
pop,BLZ,1991,0.19112800000000000
rgdpo,BLZ,1992,1313.30981445313000000
pop,BLZ,1992,0.19432400000000000
rgdpo,BLZ,1993,1397.41699218750000000
pop,BLZ,1993,0.19762200000000000
rgdpo,BLZ,1994,1492.24743652344000000
pop,BLZ,1994,0.20168000000000000
rgdpo,BLZ,1995,1613.22619628906000000
pop,BLZ,1995,0.20696300000000000
rgdpo,BLZ,1996,1411.83837890625000000
pop,BLZ,1996,0.21366400000000000
rgdpo,BLZ,1997,1364.13208007813000000
pop,BLZ,1997,0.22158000000000000
rgdpo,BLZ,1998,1356.13208007813000000
pop,BLZ,1998,0.23024400000000000
rgdpo,BLZ,1999,1409.35717773438000000
pop,BLZ,1999,0.23898800000000000
rgdpo,BLZ,2000,1615.07861328125000000
pop,BLZ,2000,0.24731500000000000
rgdpo,BLZ,2001,1606.78637695313000000
pop,BLZ,2001,0.25506300000000000
rgdpo,BLZ,2002,1809.15368652344000000
pop,BLZ,2002,0.26237800000000000
rgdpo,BLZ,2003,1999.16186523438000000
pop,BLZ,2003,0.26942500000000000
rgdpo,BLZ,2004,2103.18554687500000000
pop,BLZ,2004,0.27650400000000000
rgdpo,BLZ,2005,2215.19873046875000000
pop,BLZ,2005,0.28380000000000000
rgdpo,BLZ,2006,2367.70214843750000000
pop,BLZ,2006,0.29132900000000000
rgdpo,BLZ,2007,2447.63549804688000000
pop,BLZ,2007,0.29902500000000000
rgdpo,BLZ,2008,2359.54809570313000000
pop,BLZ,2008,0.30682300000000000
rgdpo,BLZ,2009,2230.17846679688000000
pop,BLZ,2009,0.31465500000000000
rgdpo,BLZ,2010,2510.12524414063000000
pop,BLZ,2010,0.32246400000000000
rgdpo,BLZ,2011,2660.10400390625000000
pop,BLZ,2011,0.33023700000000000
rgdpo,BLZ,2012,2725.20385742188000000
pop,BLZ,2012,0.33800000000000000
rgdpo,BLZ,2013,2520.80102539063000000
pop,BLZ,2013,0.34571500000000000
rgdpo,BLZ,2014,2569.15527343750000000
pop,BLZ,2014,0.35336600000000000
rgdpo,BLZ,2015,2380.28906250000000000
pop,BLZ,2015,0.36093300000000000
rgdpo,BLZ,2016,2328.94458007813000000
