VariableCode,RegionCode,YearCode,AggValue
rgdpo,BRA,1990,954572.00000000000000000
pop,BRA,1990,149.00322300000000000
hc,BRA,1990,1.71669137477875000
rgdpo,BRA,1991,1041851.12500000000000000
pop,BRA,1991,151.64801100000000000
hc,BRA,1991,1.74462711811066000
rgdpo,BRA,1992,1071128.50000000000000000
pop,BRA,1992,154.25938000000000000
hc,BRA,1992,1.77301752567291000
rgdpo,BRA,1993,1155152.37500000000000000
pop,BRA,1993,156.84907800000000000
hc,BRA,1993,1.80186975002289000
rgdpo,BRA,1994,1300092.75000000000000000
pop,BRA,1994,159.43271600000000000
hc,BRA,1994,1.83119153976440000
rgdpo,BRA,1995,1513901.75000000000000000
pop,BRA,1995,162.01989600000000000
hc,BRA,1995,1.86099052429199000
rgdpo,BRA,1996,1817952.62500000000000000
pop,BRA,1996,164.61468800000000000
hc,BRA,1996,1.89644837379456000
rgdpo,BRA,1997,1761591.87500000000000000
pop,BRA,1997,167.20904000000000000
hc,BRA,1997,1.93258178234100000
rgdpo,BRA,1998,1687990.12500000000000000
pop,BRA,1998,169.78525000000000000
hc,BRA,1998,1.96940386295319000
rgdpo,BRA,1999,1630691.75000000000000000
pop,BRA,1999,172.31867500000000000
hc,BRA,1999,2.00692725181580000
rgdpo,BRA,2000,1653572.37500000000000000
pop,BRA,2000,174.79034000000000000
hc,BRA,2000,2.04516577720642000
rgdpo,BRA,2001,1645849.75000000000000000
pop,BRA,2001,177.19605400000000000
hc,BRA,2001,2.08590292930603000
rgdpo,BRA,2002,1657569.00000000000000000
pop,BRA,2002,179.53752000000000000
hc,BRA,2002,2.12745189666748000
rgdpo,BRA,2003,1651363.00000000000000000
pop,BRA,2003,181.80924600000000000
hc,BRA,2003,2.16982817649841000
rgdpo,BRA,2004,1738794.25000000000000000
pop,BRA,2004,184.00648100000000000
hc,BRA,2004,2.21304869651794000
rgdpo,BRA,2005,1802951.50000000000000000
pop,BRA,2005,186.12710300000000000
hc,BRA,2005,2.25713014602661000
rgdpo,BRA,2006,1967472.00000000000000000
pop,BRA,2006,188.16735600000000000
hc,BRA,2006,2.29880857467651000
rgdpo,BRA,2007,2191638.75000000000000000
pop,BRA,2007,190.13044300000000000
hc,BRA,2007,2.34125638008118000
rgdpo,BRA,2008,2439878.75000000000000000
pop,BRA,2008,192.03036200000000000
hc,BRA,2008,2.38448834419250000
rgdpo,BRA,2009,2531593.25000000000000000
pop,BRA,2009,193.88650800000000000
hc,BRA,2009,2.42851853370667000
rgdpo,BRA,2010,2938155.50000000000000000
pop,BRA,2010,195.71363500000000000
hc,BRA,2010,2.47336173057556000
rgdpo,BRA,2011,3280995.75000000000000000
pop,BRA,2011,197.51453600000000000
hc,BRA,2011,2.56089591979980000
rgdpo,BRA,2012,3271619.00000000000000000
pop,BRA,2012,199.28729900000000000
hc,BRA,2012,2.62187433242798000
rgdpo,BRA,2013,3306056.00000000000000000
pop,BRA,2013,201.03591200000000000
hc,BRA,2013,2.68430471420288000
rgdpo,BRA,2014,3297538.25000000000000000
pop,BRA,2014,202.76373900000000000
hc,BRA,2014,2.74822163581848000
rgdpo,BRA,2015,3082939.00000000000000000
pop,BRA,2015,204.47176900000000000
hc,BRA,2015,2.81366038322449000
rgdpo,BRA,2016,2931514.00000000000000000
pop,BRA,2016,206.16305300000000000
hc,BRA,2016,2.88065743446350000
rgdpo,BRA,2017,2968825.50000000000000000
pop,BRA,2017,207.83382300000000000
hc,BRA,2017,2.94924998283386000
rgdpo,BRA,2018,3042121.50000000000000000
pop,BRA,2018,209.46932300000000000
hc,BRA,2018,3.01947546005249000
rgdpo,BRA,2019,3080048.50000000000000000
pop,BRA,2019,211.04952700000000000
hc,BRA,2019,3.09137320518494000
rgdpo,BTN,1990,1569.33764648438000000
pop,BTN,1990,0.53080400000000000
rgdpo,BTN,1991,1615.61791992188000000
pop,BTN,1991,0.53463200000000000
rgdpo,BTN,1992,1792.01171875000000000
pop,BTN,1992,0.53451600000000000
rgdpo,BTN,1993,1683.93017578125000000
pop,BTN,1993,0.53259600000000000
rgdpo,BTN,1994,1696.03979492188000000
pop,BTN,1994,0.53189700000000000
rgdpo,BTN,1995,1733.33471679688000000
pop,BTN,1995,0.53462000000000000
rgdpo,BTN,1996,1875.28222656250000000
pop,BTN,1996,0.54146500000000000
rgdpo,BTN,1997,2126.21313476563000000
pop,BTN,1997,0.55170900000000000
rgdpo,BTN,1998,2207.77709960938000000
pop,BTN,1998,0.56437700000000000
rgdpo,BTN,1999,2539.50317382813000000
pop,BTN,1999,0.57788100000000000
rgdpo,BTN,2000,2617.55419921875000000
pop,BTN,2000,0.59102100000000000
rgdpo,BTN,2001,2767.88647460938000000
pop,BTN,2001,0.60364000000000000
rgdpo,BTN,2002,3180.47778320313000000
pop,BTN,2002,0.61601800000000000
rgdpo,BTN,2003,3487.00805664063000000
pop,BTN,2003,0.62783900000000000
rgdpo,BTN,2004,4073.87280273438000000
pop,BTN,2004,0.63881500000000000
rgdpo,BTN,2005,4064.01464843750000000
pop,BTN,2005,0.64873900000000000
